Wavelength,%T
300.5,2.70394E-05
301,4.22834E-05
301.5,0.000001
302,0.000001
302.5,1.21025E-05
303,0.000011409
303.5,1.11342E-05
304,0.000001
304.5,4.90107E-05
305,4.0104E-05
305.5,3.13447E-05
306,1.72474E-05
306.5,1.34679E-05
307,7.50427E-05
307.5,9.2832E-06
308,3.37482E-05
308.5,5.33282E-06
309,3.5215E-05
309.5,8.73733E-06
310,0.000001
310.5,4.49964E-05
311,2.23279E-05
311.5,3.03958E-05
312,2.68439E-05
312.5,4.83114E-05
313,4.41254E-05
313.5,1.50932E-05
314,5.62229E-05
314.5,1.54718E-05
315,5.22338E-06
315.5,5.15813E-05
316,3.77449E-06
316.5,6.92859E-05
317,1.88158E-05
317.5,6.07024E-06
318,7.89749E-05
318.5,8.92309E-05
319,5.26014E-05
319.5,1.96023E-05
320,3.55265E-05
320.5,6.0782E-05
321,1.27136E-05
321.5,6.96769E-05
322,2.70152E-05
322.5,2.81148E-05
323,5.29971E-05
323.5,4.66354E-05
324,2.12575E-05
324.5,6.30972E-05
325,3.24538E-05
325.5,1.62213E-05
326,4.68436E-05
326.5,5.59092E-05
327,2.83238E-05
327.5,3.542E-05
328,0.000043844
328.5,4.06778E-05
329,3.47662E-06
329.5,7.24512E-05
330,3.64715E-06
330.5,4.50383E-05
331,6.0696E-06
331.5,1.01202E-05
332,2.92119E-05
332.5,6.96709E-05
333,2.13854E-05
333.5,1.59422E-05
334,3.42224E-05
334.5,2.94765E-05
335,4.17672E-05
335.5,5.06692E-05
336,1.96623E-05
336.5,3.03089E-05
337,3.31391E-05
337.5,0.000001
338,3.27277E-05
338.5,0.0000196
339,4.91503E-05
339.5,4.9046E-05
340,6.12798E-05
340.5,5.98046E-05
341,2.15786E-05
341.5,3.76531E-05
342,2.26568E-05
342.5,4.41811E-05
343,4.58152E-05
343.5,4.04263E-05
344,4.52746E-05
344.5,0.000040319
345,0.000010869
345.5,2.37377E-05
346,3.19896E-05
346.5,2.11057E-05
347,4.33445E-05
347.5,1.484E-05
348,4.42431E-05
348.5,4.84523E-05
349,3.79188E-05
349.5,4.15136E-05
350,2.13965E-05
350.5,2.39449E-05
351,2.24259E-05
351.5,2.32986E-05
352,1.26068E-05
352.5,4.11858E-05
353,1.39338E-05
353.5,4.50425E-05
354,0.000026433
354.5,1.13402E-05
355,3.43048E-05
355.5,4.25258E-05
356,0.000026428
356.5,3.46974E-05
357,3.05191E-05
357.5,2.70677E-05
358,2.04862E-05
358.5,6.94577E-05
359,2.48333E-05
359.5,2.92176E-05
360,2.81207E-05
360.5,1.51124E-05
361,0.000015548
361.5,1.5023E-05
362,4.48286E-05
362.5,2.14072E-05
363,3.10267E-05
363.5,3.36626E-05
364,1.83771E-05
364.5,4.44267E-05
365,2.41553E-05
365.5,3.55651E-05
366,3.24608E-05
366.5,3.15017E-05
367,2.83228E-05
367.5,0.000047013
368,3.61872E-05
368.5,3.05308E-05
369,8.46155E-06
369.5,2.14274E-05
370,7.31935E-06
370.5,2.9804E-05
371,3.15323E-05
371.5,3.37981E-05
372,2.4038E-05
372.5,3.5901E-05
373,0.000021158
373.5,2.55631E-05
374,1.94971E-05
374.5,1.82864E-05
375,1.95615E-05
375.5,1.21003E-05
376,2.14516E-05
376.5,2.06736E-05
377,4.01381E-05
377.5,2.47396E-05
378,2.96253E-05
378.5,2.52668E-05
379,2.25829E-05
379.5,3.02697E-05
380,2.73458E-05
380.5,3.11816E-05
381,1.41168E-05
381.5,2.29613E-05
382,1.86452E-05
382.5,2.10936E-05
383,3.27097E-05
383.5,2.11794E-05
384,3.49987E-05
384.5,4.09537E-05
385,3.12635E-05
385.5,2.00817E-05
386,2.39822E-05
386.5,3.98727E-06
387,2.75358E-05
387.5,4.25734E-05
388,3.09859E-05
388.5,3.0865E-05
389,2.45688E-05
389.5,2.94399E-05
390,2.4997E-05
390.5,4.04975E-05
391,0.000018503
391.5,2.12938E-05
392,3.28195E-05
392.5,2.43877E-05
393,2.13564E-05
393.5,1.56743E-05
394,1.93561E-05
394.5,3.17061E-05
395,2.51792E-05
395.5,3.01882E-05
396,2.55721E-05
396.5,3.65142E-05
397,2.39633E-05
397.5,3.32082E-05
398,2.71859E-05
398.5,2.01295E-05
399,2.67588E-05
399.5,3.13902E-05
400,3.76665E-05
400.5,2.50247E-05
401,4.24266E-05
401.5,2.80354E-05
402,3.5041E-05
402.5,3.31049E-05
403,3.30017E-05
403.5,1.90102E-05
404,1.78486E-05
