Wavelength,%T
380,0.449274993
380.5,0.447088992
381,0.442855991
381.5,0.475848978
382,0.570078008
382.5,0.658108015
383,0.683852006
383.5,0.683759013
384,0.597513001
384.5,0.39609801
385,0.258541992
385.5,0.222667004
386,0.160484004
386.5,0.144316
387,0.136519002
387.5,0.159331004
388,0.150354998
388.5,0.234780996
389,0.249508
389.5,0.214743009
390,0.224481989
390.5,0.166088995
391,0.099326205
391.5,0.119216996
392,0.150903
392.5,0.147470005
393,0.140108995
393.5,9.5E-05
394,0.123179005
394.5,0.03974
395,0.114782003
395.5,0.096825103
396,0.075114297
396.5,0.134019996
397,0.059140398
397.5,0.116156996
398,0.116280001
398.5,0.134260999
399,0.053273299
399.5,0.074885198
400,0.0381741
400.5,0.0476268
401,0.076436799
401.5,0.088923401
402,0.0837392
402.5,0.0376565
403,0.050066999
403.5,0.087614101
404,0.0719662
404.5,0.033741901
405,9.5E-05
405.5,0.052093802
406,0.066234299
406.5,0.052974001
407,0.0915126
407.5,0.089360197
408,0.071623101
408.5,0.0433585
409,0.060927903
409.5,0.0408272
410,0.029723201
410.5,0.029340299
411,0.028915799
411.5,0.0113035
412,0.040557
412.5,0.051654101
413,0.029133499
413.5,0.049395597
414,0.049391598
414.5,0.0435486
415,0.038588501
415.5,0.037813099
416,0.0561708
416.5,0.073123799
417,0.065181003
417.5,0.034008999
418,0.0282842
418.5,0.028387801
419,0.0362691
419.5,0.066698599
420,0.0642795
420.5,0.0311437
421,0.039154899
421.5,0.045998199
422,0.036132001
422.5,0.036270401
423,0.0320035
423.5,0.035098201
424,0.052879198
424.5,0.048061099
425,0.0467834
425.5,0.059455499
426,0.060374598
426.5,0.068196398
427,0.085114798
427.5,0.066487002
428,0.051577698
428.5,0.051594898
429,0.0484274
429.5,0.051952899
430,0.058478001
430.5,0.060456502
431,0.048720601
431.5,0.0413495
432,0.0476955
432.5,0.055347901
433,0.0443711
433.5,0.065645599
434,0.066181301
434.5,0.063617498
435,0.082285202
435.5,0.050855801
436,0.0343355
436.5,0.056996697
437,0.0626016
437.5,0.0652641
438,0.0649283
438.5,0.062142301
439,0.079077698
439.5,0.065796199
440,0.077475898
440.5,0.073702598
441,0.067205803
441.5,0.069193199
442,0.0853226
442.5,0.105270999
443,0.114735996
443.5,0.13452
444,0.169206003
444.5,0.201919
445,0.229445007
445.5,0.223712996
446,0.201440998
446.5,0.186904997
447,0.155110995
447.5,0.140449998
448,0.110711996
448.5,0.091256102
449,0.103384
449.5,0.081787701
450,0.075376499
450.5,0.0833228
451,0.095206703
451.5,0.093972002
452,0.092679902
452.5,0.096457201
453,0.107842998
453.5,0.128025003
454,0.147671998
454.5,0.171197997
455,0.236999011
455.5,0.315594999
456,0.384055008
456.5,0.464164978
457,0.497609982
457.5,0.487978011
458,0.430360017
458.5,0.34624401
459,0.278647989
459.5,0.222863001
460,0.190641999
460.5,0.168125995
461,0.155851
461.5,0.152875006
462,0.145658001
462.5,0.157411001
463,0.172828999
463.5,0.195193
464,0.225475011
464.5,0.285371998
465,0.412268983
465.5,0.623675017
466,0.987114012
466.5,1.415800024
467,1.737540029
467.5,1.772540063
468,1.559660025
468.5,1.138770021
469,0.720384018
469.5,0.445974991
470,0.278560002
470.5,0.189594994
471,0.148163002
471.5,0.133268
472,0.104842999
472.5,0.095616898
473,0.0736235
473.5,0.075745099
474,0.079835998
474.5,0.076227402
475,0.0660536
475.5,0.060488301
476,0.0615931
476.5,0.059509202
477,0.0697512
477.5,0.0710172
478,0.063417002
478.5,0.067793898
479,0.079621101
479.5,0.0639526
480,0.081268803
480.5,0.086900801
481,0.089645002
481.5,0.101851998
482,0.111655996
482.5,0.112691999
483,0.134222
483.5,0.155565003
484,0.183860003
484.5,0.213291007
485,0.244436995
485.5,0.300853001
486,0.348160998
486.5,0.432447018
487,0.511148991
487.5,0.626438996
488,0.723922998
488.5,0.828235969
489,0.941818021
489.5,1.066139992
490,1.16630001
490.5,1.271599997
491,1.363450009
491.5,1.438760012
492,1.511870045
492.5,1.586109959
493,1.673359983
493.5,1.744969934
494,1.893639937
494.5,2.031639963
495,2.213699929
495.5,2.423810028
496,2.660249919
