Wavelength,%T
300,9.5E-05
300.5,9.5E-05
301,9.5E-05
301.5,9.5E-05
302,9.5E-05
302.5,9.5E-05
303,9.5E-05
303.5,9.5E-05
304,9.5E-05
304.5,9.5E-05
305,9.5E-05
305.5,9.5E-05
306,0.000110812
306.5,9.5E-05
307,9.5E-05
307.5,9.5E-05
308,9.5E-05
308.5,9.5E-05
309,9.5E-05
309.5,9.5E-05
310,9.5E-05
310.5,9.5E-05
311,9.5E-05
311.5,9.5E-05
312,9.5E-05
312.5,9.5E-05
313,9.5E-05
313.5,9.5E-05
314,9.5E-05
314.5,9.5E-05
315,9.5E-05
315.5,9.5E-05
316,9.5E-05
316.5,9.5E-05
317,9.5E-05
317.5,9.5E-05
318,9.5E-05
318.5,9.5E-05
319,9.5E-05
319.5,9.5E-05
320,9.5E-05
320.5,9.5E-05
321,9.5E-05
321.5,9.5E-05
322,9.5E-05
322.5,9.5E-05
323,9.5E-05
323.5,9.5E-05
324,9.5E-05
324.5,9.5E-05
325,9.5E-05
325.5,9.5E-05
326,9.5E-05
326.5,9.5E-05
327,9.5E-05
327.5,9.5E-05
328,9.5E-05
328.5,9.5E-05
329,9.5E-05
329.5,9.5E-05
330,9.5E-05
330.5,9.5E-05
331,9.5E-05
331.5,9.5E-05
332,9.5E-05
332.5,9.5E-05
333,9.5E-05
333.5,9.5E-05
334,9.5E-05
334.5,9.5E-05
335,9.5E-05
335.5,9.5E-05
336,9.5E-05
336.5,9.5E-05
337,9.5E-05
337.5,9.5E-05
338,9.5E-05
338.5,9.5E-05
339,9.5E-05
339.5,9.5E-05
340,9.5E-05
340.5,9.5E-05
341,9.5E-05
341.5,9.5E-05
342,9.5E-05
342.5,9.5E-05
343,9.5E-05
343.5,9.5E-05
344,9.5E-05
344.5,9.5E-05
345,9.5E-05
345.5,9.5E-05
346,9.5E-05
346.5,9.5E-05
347,9.5E-05
347.5,9.5E-05
348,9.5E-05
348.5,9.5E-05
349,9.5E-05
349.5,9.5E-05
350,9.5E-05
350.5,9.5E-05
351,9.5E-05
351.5,9.5E-05
352,9.5E-05
352.5,9.5E-05
353,9.5E-05
353.5,9.5E-05
354,9.5E-05
354.5,9.5E-05
355,9.5E-05
355.5,9.5E-05
356,9.5E-05
356.5,9.5E-05
357,9.5E-05
357.5,9.5E-05
358,9.5E-05
358.5,9.5E-05
359,9.5E-05
359.5,9.5E-05
360,9.5E-05
360.5,9.5E-05
361,9.5E-05
361.5,9.5E-05
362,0.000175984
362.5,0.000162597
363,0.000146622
363.5,0.000131543
364,0.000116986
364.5,9.5E-05
365,9.5E-05
365.5,0.00011187
366,9.5E-05
366.5,9.5E-05
367,9.5E-05
367.5,9.5E-05
368,9.5E-05
368.5,9.5E-05
369,9.5E-05
369.5,9.5E-05
370,9.5E-05
370.5,9.5E-05
371,9.5E-05
371.5,0.000136584
372,9.5E-05
372.5,9.5E-05
373,9.5E-05
373.5,0.000117088
374,9.5E-05
374.5,0.000132689
375,9.5E-05
375.5,9.5E-05
376,0.000115126
376.5,9.5E-05
377,9.5E-05
377.5,0.000102632
378,9.5E-05
378.5,9.5E-05
379,9.87158E-05
379.5,9.5E-05
380,9.5E-05
380.5,9.5E-05
381,0.000124367
381.5,0.000120251
382,0.000113879
382.5,9.5E-05
383,9.5E-05
383.5,9.5E-05
384,9.5E-05
384.5,9.76509E-05
385,9.5E-05
385.5,9.5E-05
386,9.5E-05
386.5,9.5E-05
387,9.5E-05
387.5,9.5E-05
388,9.5E-05
388.5,9.5E-05
389,9.5E-05
389.5,9.5E-05
390,9.5E-05
390.5,9.96586E-05
391,0.000116919
391.5,0.000100356
392,9.5E-05
392.5,9.5E-05
393,9.5E-05
393.5,9.5E-05
394,9.73079E-05
394.5,0.000152462
395,0.000188626
395.5,0.000150936
396,0.000112738
396.5,0.000129516
397,0.000175186
397.5,0.000191551
398,0.000179649
398.5,0.000175791
399,0.000131158
399.5,0.00016166
400,0.000151595
400.5,0.000234858
401,0.000292457
401.5,0.000268541
402,0.00026811
402.5,0.000298571
403,0.000440326
403.5,0.000562672
404,0.00049632
404.5,0.000268188
405,0.000106518
405.5,9.5E-05
406,9.5E-05
406.5,9.5E-05
407,9.5E-05
407.5,9.5E-05
408,9.5E-05
408.5,9.5E-05
409,9.5E-05
409.5,9.5E-05
410,9.5E-05
410.5,9.5E-05
411,9.5E-05
411.5,9.5E-05
412,9.5E-05
412.5,9.5E-05
413,9.5E-05
413.5,9.5E-05
414,9.5E-05
414.5,9.5E-05
415,9.5E-05
415.5,9.5E-05
416,9.5E-05
416.5,9.5E-05
417,9.5E-05
417.5,9.5E-05
418,9.5E-05
418.5,9.5E-05
419,9.5E-05
419.5,9.5E-05
420,9.5E-05
420.5,9.5E-05
421,9.5E-05
421.5,9.5E-05
422,9.5E-05
422.5,9.5E-05
423,9.5E-05
423.5,9.5E-05
424,9.5E-05
424.5,9.5E-05
425,9.5E-05
425.5,9.5E-05
426,9.5E-05
426.5,9.5E-05
427,9.5E-05
427.5,9.5E-05
428,9.5E-05
428.5,9.55334E-05
429,0.000120378
429.5,0.000123741
430,0.000105474
430.5,0.000101796
431,9.5E-05
431.5,9.5E-05
432,9.5E-05
432.5,9.5E-05
433,9.5E-05
433.5,9.5E-05
434,0.000116382
434.5,9.68245E-05
435,9.6521E-05
435.5,9.5E-05
436,9.5E-05
436.5,9.5E-05
437,9.5E-05
437.5,0.000102282
438,9.5E-05
438.5,9.5E-05
439,9.5E-05
439.5,9.5E-05
440,9.5E-05
440.5,9.5E-05
441,9.5E-05
441.5,9.5E-05
442,9.5E-05
442.5,9.5E-05
443,9.5E-05
443.5,9.5E-05
444,9.5E-05
444.5,9.5E-05
445,9.5E-05
445.5,9.5E-05
446,9.5E-05
446.5,9.5E-05
447,9.5E-05
447.5,9.5E-05
448,9.5E-05
448.5,9.5E-05
449,9.5E-05
449.5,0.000152065
450,0.000150667
450.5,0.000136402
451,0.000106314
451.5,0.000129309
452,0.000162499
452.5,0.000188564
453,0.000177382
453.5,0.000160414
454,0.000128567
454.5,9.5E-05
455,9.5E-05
455.5,9.5E-05
456,9.5E-05
456.5,9.5E-05
457,9.5E-05
457.5,9.5E-05
458,0.000109551
458.5,0.000137758
459,0.000115872
459.5,9.5E-05
460,9.5E-05
460.5,9.5E-05
461,9.5E-05
461.5,9.5E-05
462,9.5E-05
462.5,9.88113E-05
463,0.00010172
463.5,9.5E-05
464,9.5E-05
464.5,9.5E-05
465,9.5E-05
465.5,9.5E-05
466,9.5E-05
466.5,9.5E-05
467,9.5E-05
467.5,9.5E-05
468,9.5E-05
468.5,9.5E-05
469,9.5E-05
469.5,9.5E-05
470,9.5E-05
470.5,9.5E-05
471,9.5E-05
471.5,9.5E-05
472,9.5E-05
472.5,9.5E-05
473,9.5E-05
473.5,9.5E-05
474,9.5E-05
474.5,9.5E-05
475,9.5E-05
475.5,9.5E-05
476,9.5E-05
476.5,9.5E-05
477,9.5E-05
477.5,9.5E-05
478,9.5E-05
478.5,9.5E-05
479,9.5E-05
479.5,9.5E-05
480,9.5E-05
480.5,9.5E-05
481,9.5E-05
481.5,9.5E-05
482,9.5E-05
482.5,9.5E-05
483,9.5E-05
483.5,9.5E-05
484,9.5E-05
484.5,0.000113338
485,0.000120812
485.5,0.000140868
486,0.000127718
486.5,0.000104719
487,9.5E-05
487.5,9.5E-05
488,9.5E-05
488.5,9.5E-05
489,9.5E-05
489.5,9.5E-05
490,9.5E-05
490.5,9.5E-05
491,9.5E-05
491.5,9.5E-05
492,9.5E-05
492.5,9.5E-05
493,9.5E-05
493.5,9.5E-05
494,9.5E-05
494.5,9.5E-05
495,9.5E-05
495.5,0.000111685
496,0.000155143
496.5,0.000171228
497,0.000192482
497.5,0.000170124
498,0.000149816
498.5,0.000154633
499,0.000173324
499.5,0.000121315
500,9.5E-05
500.5,9.5E-05
501,9.5E-05
501.5,9.5E-05
502,9.5E-05
502.5,9.5E-05
503,9.5E-05
503.5,9.5E-05
504,9.5E-05
504.5,9.5E-05
505,9.5E-05
505.5,9.5E-05
506,9.5E-05
506.5,9.5E-05
507,9.5E-05
